"","","OPEN INTEREST AT THE BEGINNING OF NEW EXPIRY","","","","","","","","","","","","","OPENING PRICE","",""
"Symbol (214)","","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","Jan 26","Feb 26","Mar 26","Apr 26","May 26","Jun 26","MoM OI Chg %","May 26","Jun 26","MoM Price Chg%"
"BHARTIARTL","-","48508425","44553575","45181525","49229000","44423900","42982275","47775500","54486300","51866200","56891700","60452775","57618450","-4.69","1850.3","1861.7","0.62"
"CGPOWER","-","11137550","17855100","17378250","16773050","14422800","16778150","13982500","18166200","14540100","17730150","20900650","19907000","-4.75","835","884.3","5.9"
"CHOLAFIN","-","11717500","13189375","11406250","14187500","15701875","12428750","12009375","14844375","14918750","19412500","18403750","17470625","-5.07","1544.4","1579.8","2.29"
"ONGC","-","109581750","87426000","78471000","98772750","89817750","87394500","109444500","84948750","117803250","95807250","99945000","94416750","-5.53","302.15","289.85","-4.07"
"FORCEMOT","-","-","-","-","-","-","-","-","-","-","-","225650","212225","-5.95","20530","19900","-3.07"
"UNIONBANK","-","69503475","77813625","88331850","86650350","81220875","88181400","78773850","77840175","58073700","104137950","131002125","123041550","-6.08","171.66","168.99","-1.56"
"HAL","-","9633900","9254700","9604350","8641050","9606450","9392700","9612450","8673300","9549300","8353950","7089450","6656550","-6.11","4365.9","4460.4","2.16"
"HEROMOTOCO","-","5375250","6548100","5362350","5137350","4162500","5740800","5811900","3528150","3555600","3423600","4278600","4016250","-6.13","5092.5","5014","-1.54"
"LTF","-","59594472","50259968","38382124","40822838","47591692","42297608","43683750","45166500","49650750","60732000","43521750","40785750","-6.29","286.21","283.65","-0.89"
"HAVELLS","-","8028000","8320500","8809500","9569000","8902500","7968000","7806000","8857000","9815500","8081500","10302500","9651000","-6.32","1279","1211","-5.32"
"ITC","-","110198400","103123200","99456000","114124800","157489600","175676800","174648000","189019200","172529600","160964800","179099200","167395950","-6.53","305.5","303.15","-0.77"
"TIINDIA","-","1845000","1718200","1766400","2006000","1879200","2012200","3506600","3472600","2759400","2547000","2403600","2237400","-6.91","3013.2","3053.8","1.35"
"SUPREMEIND","-","1392825","1395275","1344525","1214850","1877225","2120125","1761900","1807050","1558025","1970325","2251375","2092125","-7.07","3654.4","3572.6","-2.24"
"GMRAIRPORT","-","181064025","186588225","183128625","211098375","225892350","179536500","168997275","162998775","148176900","139534875","129511800","120207150","-7.18","98.27","96.88","-1.41"
"APOLLOHOSP","-","2701625","2454125","2768500","2845750","2526375","2833375","2992750","3873875","2885750","2402125","1999375","1852250","-7.36","7782.5","8315","6.84"
"GODREJCP","-","8421000","9317500","6154500","11215500","11284000","9443500","9430500","7949500","8466500","10780000","13028000","12049000","-7.51","1093.35","1037.2","-5.14"
"NAM-INDIA","-","-","-","-","-","-","-","-","-","-","-","3616875","3343750","-7.55","1023.8","1091.2","6.58"
"BHARATFORG","-","10009000","11190500","11034500","10298500","9788500","7178500","7515000","6707000","7412500","7479000","7416500","6855000","-7.57","1907.3","1947.6","2.11"
"M&M","-","19865200","23340600","18452000","20339800","18729800","18627400","18063400","18171200","18660200","19342800","19945800","18404800","-7.73","3098.8","3127.8","0.94"
"WIPRO","-","65556000","108312000","118695000","129147000","149433000","125307000","98877000","123492000","163137000","208905000","293496000","270330000","-7.89","192.14","181.41","-5.58"
"UPL","-","35129730","33131105","30146040","33908875","33261185","32980700","40150005","33116200","36533510","27992945","28146060","25921150","-7.9","649.3","659.45","1.56"
"DIXON","-","1714250","1362800","1548950","1522500","1847600","2018000","2876750","2976600","2437100","2656800","2854900","2618050","-8.3","11414","11632","1.91"
"BAJAJ-AUTO","-","2504025","2737425","2502075","3160050","3120600","3062850","3031050","3305700","2874450","3482775","2641650","2410575","-8.75","9498.5","10292","8.35"
"HINDPETRO","-","46864575","53719200","47020500","45714375","44341425","42308325","34356150","36150300","37247850","49517325","34878600","31810725","-8.8","382.3","400.55","4.77"
"TITAN","-","11866575","9788975","9136400","11718875","11027275","9323300","9659300","8474375","9694125","9581075","8818950","7994875","-9.34","4435.5","4133.4","-6.81"
"BRITANNIA","-","3127875","3069125","3387500","3725500","3265500","2796750","2775000","3182750","3325625","2548000","2736625","2476250","-9.51","5684","5363.5","-5.64"
